time,flight_Number,terminal,gate
16:10,AY1385,T2,50A
16:10,"AY813, JL6813, BA6043",T2,31C
16:10,PS152,T2,51A
16:10,AY1533,T2,31D
16:15,"AY225, AF4654",T2,23A
16:15,"AY345, AF4624",T2,21A
16:15,"AY1075, BA6028, JL6871",T2,20B
16:15,B2858,T2,50L
16:15,AY593,T2,18
16:20,"AY535, AF4635, BA6057, JL6867, IB7412",T2,30
16:20,"AY1405, JL6827",T2,15
16:20,AY1105,T2,13
16:25,"AY1023, AF4660, BA6013, JL6869, IB7430",T2,23B
16:25,AY617,T2,26
16:25,DK1398,T2,24
16:30,"AY1769, JL6849",T2,16
16:30,"AY1395, JL6821",T2,31E
16:30,AY315,T2,20A
16:30,"AY1513, JL6845",T2,14
16:30,"BT306, LO4174, 2N6036",T1,14A
16:40,"AY1305, JL6819, IB7433",T2,31D
16:40,"AY1545, JL6833",T2,17
16:45,AY027,T2,55
16:45,"2N426, KL9161",T1,13A
16:50,AY369,T2,31C
16:50,AY443,T2,21A
16:50,"AY835, BA6053, TF6109",T2,20B
16:50,QR302,T2,50G
16:50,"SK719, CA6874",T1,13A
16:55,"SK1713, LG1832",T1,12
16:55,AY1415,T2,20
16:55,"BA799, AY5909, AA6480",T2,50C
17:00,AY141,T2,50E
17:00,"AY1661, IB7425, JL6853",T2,31D
17:00,"AY1435, JL6823",T2,21
17:00,"AY1475, BA6009, JL6837",T2,31E
17:00,D8370,T2,51A
17:05,"JL414, BA3448, AY5811",T2,53
17:15,AY079,T2,50J
17:15,D86521,T2,19
17:20,"AY073, JL6800, BA6085",T2,54
17:20,"AY1145, BA6073, JL6831",T2,25
17:25,"AY087, CA5214",T2,34
17:25,AY077,T2,50L
17:25,"AY1653, JL6855, IB7435",T2,22
17:25,"AY1341, CX1416, UL3205, BA6029",T2,50A
17:30,AY041,T2,32
17:30,"AY1425, JL6825",T2,29
17:30,AY815,T2,31D
17:30,"MTL655, W25655",,14A
17:35,"AY1223, JL6835, BA6095",T2,28
17:35,SK2705,T1,14
17:35,D8110,T2,18
17:45,"AY959, JL6815, FI7359, BA6023",T2,27
17:55,SK721,T1,12
18:00,"AY705, JL6861",T2,50C
18:00,"AY713, SU3963",T2,50G
18:00,"LH851, SN7104, OS7442, ET1586, TP7917, SQ2003, EY4183",T1,13
18:05,D8772,T2,51A
18:05,"KL1170, MH5674, CZ7669, 9W8670, AZ3811, KQ1170, MF9916",T2,26
18:10,AY317,T2,20A
18:10,D8448,T2,31E
18:10,"AY085, CA5212",T2,50E
18:15,AY371,T2,20B
18:15,"TK1764, SK3409",T2,51B
18:25,D8262,T2,19
18:30,AY1027,T2,21A
18:50,AY145,T2,33
18:55,DY4288,T2,18
19:05,AY445,T2,23A
19:10,AY539,T2,29
19:15,"AY917, BA6077",T2,26
19:20,AY867,T2,25
19:25,AY633,T2,23B
19:30,"AY1339, BA6035",T2,32
19:30,"AY1581, AF5005",T2,22
19:30,D8311,T2,17
19:40,AY839,T2,20A
19:40,LH2465,T1,14
19:55,D86687,T2,19
20:00,SK723,T1,12
20:05,AY1979,T2,32A
20:05,AY1549,T2,30
20:10,D85123,T2,18
20:15,"AY451, AF4646, BA6018",T2,27
20:15,AY819,T2,26
20:15,"AY347, AF4681",T2,20B
20:15,AY487,T2,29
20:20,AY121,T2,55
20:30,AY961,T2,24
20:30,D85423,T2,17
20:35,"AY1031, AF4683, BA6015",T2,21A
20:45,AY537,T2,23
20:45,D8114,T2,19
20:50,D81083,T2,16
20:55,"AY375, AF4636",T2,25
21:05,"BT308, 2N6038",T1,15
21:05,U25732,T1,14
21:10,AY267,T2,23B
21:10,AY1043,T2,23A
